<CHEBI_58496> <CHEBI_59876>
<CHEBI_38323> <CHEBI_35942>
<HP_0008682> <HP_0000091>
<GO_1903317> <GO_0051246>
<HP_0010092> <HP_0010052>
<UBERON_0001709> <UBERON_0010314>
<HP_0004320> <HP_0000142>
<HP_6000481> <HP_0025640>
<HP_0008670> <HP_0001153>
<GO_0060265> <GO_0051240>
<HP_0011429> <HP_0011425>
<HP_0031171> <HP_0002823>
<UBERON_0010135> <UBERON_0005408>
<HP_0040186> <HP_4000054>
<HP_0003090> <HP_0005003>
<HP_0032890> <HP_0011163>
<GO_0140253> <GO_0009987>
<GO_0006956> <GO_0002253>
<CHEBI_33658> <CHEBI_33663>
<HP_0033906> <HP_0033892>
<HP_0031585> <HP_0031571>
<UBERON_0001763> <UBERON_0007213>
<HP_0033545> <HP_0033544>
<UBERON_0002325> <UBERON_0006555>
<GO_0002790> <GO_0015833>
<HP_6001192> <HP_0100689>
<HP_6000799> <HP_0430109>
<GO_0060800> <GO_2000241>
<CHEBI_63137> <CHEBI_35238>
<HP_3000030> <HP_0000929>
<HP_0009981> <HP_0009975>
<UBERON_0004793> <UBERON_0004795>
<CHEBI_33659> <CHEBI_33655>
<GO_0099513> <GO_0099512>
<GO_0030856> <GO_0045595>
<HP_0030991> <HP_0030151>
<UBERON_0004445> <UBERON_0004417>
<UBERON_0014403> <UBERON_0014402>
<PATO_0002462> <PATO_0000025>
<CL_0002435> <CL_0000811>
<CHEBI_33308> <CHEBI_35701>
<HP_0030361> <HP_0011022>
<HP_0009981> <HP_0009974>
<GO_0031400> <GO_0031399>
<HP_0003235> <HP_0010901>
<HP_0005946> <HP_0004887>
<HP_0034157> <HP_0032376>
<HP_0004238> <HP_0001495>
<HP_0001807> <HP_0025757>
<HP_0000060> <HP_0040255>
<GO_0007281> <GO_0022412>
<HP_0410135> <HP_0410134>
<UBERON_0001739> <UBERON_0004119>
<UBERON_0007026> <UBERON_0006598>
<HP_0100223> <HP_0100087>
<HP_0100224> <HP_0100077>
<GO_1902721> <GO_0050709>
<HP_0200059> <HP_0200058>
<UBERON_0002059> <UBERON_0001808>
<HP_0410031> <HP_0000185>
<HP_0430095> <HP_0430091>
<HP_0005850> <HP_0001884>
<HP_0032806> <HP_0011165>
<HP_0025678> <HP_0025676>
<HP_0000508> <HP_0012373>
<HP_0100222> <HP_0100098>
<CHEBI_24606> <CHEBI_83925>
<CL_0000509> <CL_0000167>
<HP_0008443> <HP_0000925>
<HP_6000054> <HP_0032467>
<HP_0033621> <HP_0025426>
<UBERON_0005064> <UBERON_0004126>
<HP_0030470> <HP_0030469>
<GO_0006956> <GO_0002252>
<CL_0002657> <CL_0000150>
<HP_0008095> <HP_0008365>
<HP_0040103> <HP_0000402>
<HP_0008113> <HP_0100872>
<HP_0008689> <HP_0000028>
<HP_0006252> <HP_0006261>
<PR_000003516> <PR_000000001>
<UBERON_0011997> <UBERON_0000481>
<CHEBI_26714> <CHEBI_35479>
<HP_0011656> <HP_0001719>
<CL_2000043> <CL_0002575>
<GO_2000294> <GO_0051047>
<HP_0040102> <HP_0000413>
<HP_0025117> <HP_0034767>
<NBO_0000313> <GO_0007610>
<HP_0008341> <HP_0001947>
<UBERON_0013160> <UBERON_0004060>
<UBERON_0002193> <UBERON_0000467>
<GO_0022412> <GO_0048609>
<HP_0001732> <HP_0002012>
<UBERON_0016529> <UBERON_0005401>
<HP_0011415> <HP_0100767>
<UBERON_0006947> <UBERON_0000025>
<HP_0000924> <HP_0033127>
<HP_0011565> <HP_0005120>
<HP_0001409> <HP_0006707>
<HP_0009331> <HP_0010267>
<HP_0005288> <HP_0005105>
<HP_0002164> <HP_0001597>
<HP_0010752> <HP_0010753>
<GO_0002703> <GO_0002697>
<HP_0041224> <HP_0011297>
<UBERON_0004663> <UBERON_0035965>
<HP_0020291> <HP_0020289>
<HP_0025353> <HP_0003493>
<HP_0005305> <HP_0004936>
<CL_1000458> <CL_0000148>
<CL_1000222> <CL_1001517>
<GO_0140014> <GO_0000280>
<UBERON_7500094> <UBERON_0004120>
<HP_0009459> <HP_0009461>
<HP_0033606> <HP_0005561>
<HP_0009248> <HP_0009174>
<GO_0014057> <GO_0032224>
<HP_0009333> <HP_0010245>
<HP_0034287> <HP_0011898>
<HP_0003977> <HP_0003959>
<UBERON_0001459> <UBERON_0001084>
<CL_0009116> <CL_0011026>
<CL_2000044> <CL_2000008>
<HP_0005715> <HP_0034669>
<HP_0009228> <HP_0009375>
<UBERON_0009891> <UBERON_0005253>
<PATO_0002043> <PATO_0001714>
<GO_1905904> <GO_1905902>
<CHEBI_59845> <CHEBI_24654>
<HP_0030026> <HP_0011039>
